title,year,country,date
Anna Karenina,1935,Portugal,1936-05-12
Anna Karenina,1935,Austria,1936-05-22
Anna Karenina,1948,Sweden,1948-02-27
Anna Karenina,1948,Finland,1948-09-03
Anna Karenina,1948,UK,1948-09-27
Anna Karenina,1948,Portugal,1948-11-11
Anna Karenina,1948,Austria,1949-04-09
Anna Karenina,1948,France,1949-05-25
Anna Karenina,1948,Denmark,1949-11-18
Anna Karenina,1948,West Germany,1949-12-23
Anna Karenina,1967,Soviet Union,1967-11-06
Anna Karenina,1967,Japan,1968-05-01
Anna Karenina,1967,France,1968-07-03
Anna Karenina,1967,Finland,1968-10-04
Anna Karenina,1967,Denmark,1968-11-21
Anna Karenina,1967,Mexico,1969-02-13
Anna Karenina,1967,Hungary,1969-04-10
Anna Karenina,1967,Sweden,1970-02-04
Anna Karenina,1975,Finland,1976-01-30
Anna Karenina,1975,Hungary,1976-05-20
Anna Karenina,1975,Argentina,1976-09-30
Anna Karenina,1975,Soviet Union,1976-10-18
Anna Karenina,1975,Japan,1977-03-19
Anna Karenina,1975,Sweden,1977-11-13
Anna Karenina,1997,USA,1997-04-04
Anna Karenina,1997,Germany,1997-05-01
Anna Karenina,1997,UK,1997-05-23
Anna Karenina,1997,France,1997-06-04
Anna Karenina,1997,Belgium,1997-06-11
Anna Karenina,1997,Singapore,1997-07-10
Anna Karenina,1997,Australia,1997-07-17
Anna Karenina,1997,Denmark,1997-08-08
Anna Karenina,1997,Spain,1997-08-18
Anna Karenina,1997,Brazil,1997-09-05
Anna Karenina,1997,Turkey,1997-09-19
Anna Karenina,1997,South Korea,1997-10-03
Anna Karenina,1997,New Zealand,1997-10-23
Anna Karenina,1997,Poland,1997-11-07
Anna Karenina,1997,Hong Kong,1997-11-20
Anna Karenina,1997,Japan,1998-04-11
Anna Karenina,1997,Thailand,1998-05-29
Anna Karenina,1997,Argentina,1998-07-09
Anna Karenina,1997,Peru,2003-05-15
Anna Karenina,2012,Ireland,2012-09-07
Anna Karenina,2012,UK,2012-09-07
Anna Karenina,2012,China,2012-10-16
Anna Karenina,2012,Taiwan,2012-11-16
Anna Karenina,2012,Poland,2012-11-23
Anna Karenina,2012,Belgium,2012-12-05
Anna Karenina,2012,Egypt,2012-12-05
Anna Karenina,2012,France,2012-12-05
Anna Karenina,2012,Czech Republic,2012-12-06
Anna Karenina,2012,Germany,2012-12-06
Anna Karenina,2012,Kuwait,2012-12-06
Anna Karenina,2012,Lebanon,2012-12-06
Anna Karenina,2012,Netherlands,2012-12-06
Anna Karenina,2012,Portugal,2012-12-06
Anna Karenina,2012,Slovakia,2012-12-06
Anna Karenina,2012,United Arab Emirates,2012-12-06
Anna Karenina,2012,Austria,2012-12-07
Anna Karenina,2012,Turkey,2012-12-28
Anna Karenina,2012,Greece,2013-01-01
Anna Karenina,2012,Israel,2013-01-03
Anna Karenina,2012,Ukraine,2013-01-03
Anna Karenina,2012,Hong Kong,2013-01-10
Anna Karenina,2012,Russia,2013-01-10
Anna Karenina,2012,Slovenia,2013-01-10
Anna Karenina,2012,Cyprus,2013-01-11
Anna Karenina,2012,Finland,2013-01-11
Anna Karenina,2012,Hungary,2013-01-24
Anna Karenina,2012,Serbia,2013-01-24
Anna Karenina,2012,New Zealand,2013-01-31
Anna Karenina,2012,Bulgaria,2013-02-01
Anna Karenina,2012,South Africa,2013-02-01
Anna Karenina,2012,Estonia,2013-02-08
Anna Karenina,2012,Lithuania,2013-02-08
Anna Karenina,2012,Australia,2013-02-14
Anna Karenina,2012,Iceland,2013-02-15
Anna Karenina,2012,Sweden,2013-02-15
Anna Karenina,2012,Croatia,2013-02-21
Anna Karenina,2012,Italy,2013-02-21
Anna Karenina,2012,Norway,2013-02-22
Anna Karenina,2012,Mexico,2013-03-01
Anna Karenina,2012,Argentina,2013-03-14
Anna Karenina,2012,Chile,2013-03-14
Anna Karenina,2012,Brazil,2013-03-15
Anna Karenina,2012,Colombia,2013-03-15
Anna Karenina,2012,Spain,2013-03-15
Anna Karenina,2012,South Korea,2013-03-21
Anna Karenina,2012,Japan,2013-03-29
Anna Karenina,2012,Peru,2013-04-04
Anna Karenina,2012,Uruguay,2013-04-19
Anna Karenina,2012,Denmark,2013-05-02
Anna Karenina,2012,Venezuela,2013-05-17
Anna Karenina,2012,Ecuador,2013-06-07
Anna Karenina,2012,Bolivia,2013-06-13
Anna Lans,1943,Sweden,1943-08-20
Anna Lans,1943,Denmark,1945-04-07
Anna Lans,1943,Finland,1945-05-06
Anna Lans,1943,USA,1950-05-19
Anna Lans,1943,Austria,1950-07-14
Anna Lans,1943,France,1952-01-09
Anna Lucasta,1949,USA,1949-07-11
Anna Lucasta,1949,Finland,1950-02-24
Anna Lucasta,1949,Australia,1950-03-03
Anna Lucasta,1949,Sweden,1950-04-17
Anna Lucasta,1949,Denmark,1951-04-02
Anna Lucasta,1949,Portugal,1953-09-18
Anna Lucasta,1958,Sweden,1959-01-16
Anna Lucasta,1958,UK,1959-02-15
Anna Lucasta,1958,Finland,1959-05-22
Anna Lucasta,1958,Netherlands,1959-05-22
Anna Lucasta,1958,Denmark,1959-07-24
Anna Lucasta,1958,Mexico,1960-09-01
Anna M.,2007,France,2007-04-11
Anna M.,2007,Belgium,2007-04-18
Anna M.,2007,UK,2007-11-16
Anna M.,2007,Canada,2008-01-18
Anna M.,2007,Mexico,2008-09-05
Anna Oz,1996,France,1996-10-02
Anna Oz,1996,Belgium,1996-11-16
Anna Oz,1996,Japan,1997-07-19
Anna Oz,1996,Spain,1999-08-13
Anna Roditi,1948,USA,1950-03-22
Anna Susanna,1953,West Germany,1953-02-27
Anna Wunder,2000,Germany,2002-09-05
Anna and Modern Day Slavery,2015,UK,2015-01-29
Anna and the King,1999,Argentina,1999-12-16
Anna and the King,1999,Australia,1999-12-16
Anna and the King,1999,Chile,1999-12-16
Anna and the King,1999,Malaysia,1999-12-16
Anna and the King,1999,Singapore,1999-12-16
Anna and the King,1999,Ireland,1999-12-17
Anna and the King,1999,Malta,1999-12-17
Anna and the King,1999,Portugal,1999-12-17
Anna and the King,1999,Spain,1999-12-17
Anna and the King,1999,UK,1999-12-17
Anna and the King,1999,USA,1999-12-17
Anna and the King,1999,Hong Kong,1999-12-23
Anna and the King,1999,Taiwan,1999-12-24
Anna and the King,1999,South Korea,1999-12-31
Anna and the King,1999,New Zealand,2000-01-06
Anna and the King,1999,Brazil,2000-01-14
Anna and the King,1999,Italy,2000-01-14
Anna and the King,1999,Norway,2000-01-21
Anna and the King,1999,Belgium,2000-01-26
Anna and the King,1999,France,2000-01-26
Anna and the King,1999,Germany,2000-01-27
Anna and the King,1999,Netherlands,2000-02-03
Anna and the King,1999,Estonia,2000-02-04
Anna and the King,1999,Japan,2000-02-05
Anna and the King,1999,Hungary,2000-02-24
Anna and the King,1999,Israel,2000-02-24
Anna and the King,1999,Iceland,2000-02-25
Anna and the King,1999,Turkey,2000-02-25
Anna and the King,1999,Czech Republic,2000-03-02
Anna and the King,1999,Finland,2000-03-03
Anna and the King,1999,Sweden,2000-03-03
Anna and the King,1999,Russia,2000-03-08
Anna and the King,1999,Poland,2000-03-10
Anna and the King,1999,Denmark,2000-03-31
Anna and the King,1999,Greece,2000-04-14
Anna and the King,1999,Kuwait,2000-07-12
Anna and the King of Siam,1946,UK,1946-08-11
Anna and the King of Siam,1946,Brazil,1946-09-06
Anna and the King of Siam,1946,Sweden,1946-10-21
Anna and the King of Siam,1946,Portugal,1947-02-20
Anna and the King of Siam,1946,Italy,1947-04-04
Anna and the King of Siam,1946,France,1947-05-22
Anna and the King of Siam,1946,Hong Kong,1947-06-26
Anna and the King of Siam,1946,Austria,1947-08-29
Anna and the King of Siam,1946,Finland,1947-10-31
Anna and the King of Siam,1946,Japan,1948-03-23
Anna and the King of Siam,1946,Denmark,1950-06-12
Anna di Brooklyn,1958,Italy,1958-04-19
Anna di Brooklyn,1958,West Germany,1958-12-19
Anna di Brooklyn,1958,Iran,1960-04-19
Anna di Brooklyn,1958,Sweden,1960-09-28
Anna di Brooklyn,1958,Mexico,1961-02-16
Anna di Brooklyn,1958,Japan,1961-03-05
Anna di Brooklyn,1958,Finland,1961-05-12
Anna di Brooklyn,1958,Denmark,1961-10-02
Anna i komandor,1975,East Germany,1975-11-28
Anna i komandor,1975,Hungary,1976-01-29
Anna i komandor,1975,Poland,1976-02-23
Anna i komandor,1975,Soviet Union,1976-03-08
Anna i wampir,1982,Poland,1982-07-02
Anna i wampir,1982,Hungary,1983-09-08
Anna mit'n Flimmerfimmel,1919,Germany,1919-04-01
Anna na shee,1954,Soviet Union,1954-05-13
Anna na shee,1954,Hungary,1954-09-09
Anna na shee,1954,East Germany,1954-10-22
Anna na shee,1954,Finland,1954-10-22
Anna na shee,1954,USA,1954-10-23
Anna na shee,1954,West Germany,1954-11-19
Anna na shee,1954,Belgium,1955-02-18
Anna na shee,1954,Denmark,1955-10-31
Anna na shee,1954,Argentina,1957-06-05
Anna na shee,1954,France,1960-07-01
Anna the Adventuress,1920,UK,1920-02-01
Anna und Elisabeth,1933,Germany,1933-04-13
Anna und Elisabeth,1933,Japan,1933-11-01
Anna und Elisabeth,1933,Hungary,1934-02-21
Anna und Elisabeth,1933,Sweden,1935-04-22
Anna und Elisabeth,1933,USA,1936-06-12
Anna's Nightmare,2018,USA,2018-04-07
"Anna, Kisan Baburao Hazare",2016,India,2016-10-14
"Anna, quel particolare piacere",1973,Italy,1973-11-27
"Anna, quel particolare piacere",1973,Denmark,1975-02-17
"Anna, quel particolare piacere",1973,France,1977-05-06
"Anna, sestra Jany",1976,Poland,1977-05-02
Anna-Liisa,1922,Finland,1922-03-20
Annabel Takes a Tour,1938,USA,1938-11-11
Annabel Takes a Tour,1938,Mexico,1940-07-05
Annabelle & Bear,2010,USA,2010-02-20
Annabelle,2014,Hong Kong,2014-10-01
Annabelle,2014,Indonesia,2014-10-01
Annabelle,2014,Philippines,2014-10-01
Annabelle,2014,Aruba,2014-10-02
Annabelle,2014,Azerbaijan,2014-10-02
Annabelle,2014,Bolivia,2014-10-02
Annabelle,2014,Chile,2014-10-02
Annabelle,2014,Colombia,2014-10-02
Annabelle,2014,Iraq,2014-10-02
Annabelle,2014,Italy,2014-10-02
Annabelle,2014,Jordan,2014-10-02
Annabelle,2014,Kazakhstan,2014-10-02
Annabelle,2014,Kuwait,2014-10-02
Annabelle,2014,Malaysia,2014-10-02
Annabelle,2014,Netherlands,2014-10-02
Annabelle,2014,Serbia,2014-10-02
Annabelle,2014,Singapore,2014-10-02
Annabelle,2014,Slovakia,2014-10-02
Annabelle,2014,South Korea,2014-10-02
Annabelle,2014,Thailand,2014-10-02
Annabelle,2014,United Arab Emirates,2014-10-02
Annabelle,2014,Australia,2014-10-03
Annabelle,2014,Bahamas,2014-10-03
Annabelle,2014,Bulgaria,2014-10-03
Annabelle,2014,Canada,2014-10-03
Annabelle,2014,Lithuania,2014-10-03
Annabelle,2014,Poland,2014-10-03
Annabelle,2014,Taiwan,2014-10-03
Annabelle,2014,USA,2014-10-03
Annabelle,2014,Belgium,2014-10-08
Annabelle,2014,France,2014-10-08
Annabelle,2014,Luxembourg,2014-10-08
Annabelle,2014,Trinidad and Tobago,2014-10-08
Annabelle,2014,Albania,2014-10-09
Annabelle,2014,Brazil,2014-10-09
Annabelle,2014,Croatia,2014-10-09
Annabelle,2014,Czech Republic,2014-10-09
Annabelle,2014,Germany,2014-10-09
Annabelle,2014,Lebanon,2014-10-09
Annabelle,2014,Portugal,2014-10-09
Annabelle,2014,Republic of Macedonia,2014-10-09
Annabelle,2014,Ukraine,2014-10-09
Annabelle,2014,Austria,2014-10-10
Annabelle,2014,Cambodia,2014-10-10
Annabelle,2014,Cyprus,2014-10-10
Annabelle,2014,Estonia,2014-10-10
Annabelle,2014,Iceland,2014-10-10
Annabelle,2014,India,2014-10-10
Annabelle,2014,Ireland,2014-10-10
Annabelle,2014,Latvia,2014-10-10
Annabelle,2014,Norway,2014-10-10
Annabelle,2014,Spain,2014-10-10
Annabelle,2014,UK,2014-10-10
Annabelle,2014,Vietnam,2014-10-10
Annabelle,2014,Pakistan,2014-10-14
Annabelle,2014,Denmark,2014-10-16
Annabelle,2014,Greece,2014-10-16
Annabelle,2014,Hungary,2014-10-16
Annabelle,2014,New Zealand,2014-10-16
Annabelle,2014,Papua New Guinea,2014-10-16
Annabelle,2014,Finland,2014-10-17
Annabelle,2014,Pakistan,2014-10-17
Annabelle,2014,Romania,2014-10-17
Annabelle,2014,Sweden,2014-10-17
Annabelle,2014,Argentina,2014-10-23
Annabelle,2014,Honduras,2014-10-23
Annabelle,2014,Israel,2014-10-23
Annabelle,2014,Mexico,2014-10-23
Annabelle,2014,Peru,2014-10-23
Annabelle,2014,Paraguay,2014-10-24
Annabelle,2014,South Africa,2014-10-24
Annabelle,2014,Turkey,2014-10-24
Annabelle,2014,Slovenia,2015-01-01
Annabelle,2014,Japan,2015-02-28
Annabelle 2,2017,Germany,2017-05-18
Annabelle 2,2017,Sweden,2017-08-09
Annabelle 2,2017,Netherlands,2017-08-10
Annabelle 2,2017,Philippines,2017-08-10
Annabelle 2,2017,Singapore,2017-08-10
Annabelle 2,2017,UK,2017-08-11
Annabelle 2,2017,USA,2017-08-11
Annabelle 2,2017,Turkey,2017-08-18
Annabelle 2,2017,Greece,2017-10-05
Annabelle Hooper and the Ghosts of Nantucket,2016,USA,2016-08-09
Annabelle Lee,1974,Mexico,1983-07-14
Annabelle's Affairs,1931,USA,1931-06-14
Annabelle's Affairs,1931,Ireland,1932-02-05
Annabelle's Affairs,1931,Portugal,1932-07-04
Annai Velankanni,1971,Portugal,1980-10-10
Annamayya,1997,India,1997-05-22
Annan Thambi,2008,India,2008-04-17
Annapolis,1928,USA,1928-11-18
Annapolis,1928,Hungary,1929-07-18
Annapolis,2006,Canada,2006-01-27
Annapolis,2006,USA,2006-01-27
Annapolis,2006,Australia,2006-03-10
Annapolis,2006,Turkey,2006-03-17
Annapolis,2006,Singapore,2006-03-23
Annapolis,2006,Slovakia,2006-03-23
Annapolis,2006,Mexico,2006-04-07
Annapolis,2006,Greece,2006-04-13
Annapolis,2006,Italy,2006-06-02
Annapolis,2006,Denmark,2006-06-09
Annapolis,2006,Panama,2006-06-09
Annapolis Farewell,1935,USA,1935-08-23
Annapolis Farewell,1935,Finland,1936-01-05
Annapolis Farewell,1935,Germany,1936-02-07
Annapolis Farewell,1935,Denmark,1936-02-19
Annapolis Farewell,1935,France,1936-02-21
Annapolis Salute,1937,USA,1937-09-10
Annarth,2002,India,2002-11-01
Annas Sommer,2001,Germany,2002-01-10
Annas Sommer,2001,Spain,2002-07-12
Annas Sommer,2001,Greece,2002-08-17
Annas Sommer,2001,Argentina,2006-05-04
Annaui yuseo,1975,South Korea,1975-08-15
Annavaram,2006,India,2006-12-29
Annavaram,2006,USA,2006-12-29
Annayum Rasoolum,2013,India,2013-01-04
Annayya,2000,India,2000-01-04
Annayya,2000,USA,2000-02-06
Anne Against the World,1929,USA,1929-05-01
Anne Against the World,1929,Portugal,1930-09-22
Anne Devlin,1984,Australia,1987-07-30
Anne Frank's Diary,1999,France,2000-02-23
Anne Trister,1986,Canada,1986-02-03
Anne Trister,1986,France,1986-07-23
Anne Trister,1986,West Germany,1986-09-25
Anne no komori uta,1982,Japan,1982-10-29
Anne of Green Gables,1919,USA,1919-11-23
Anne of Green Gables,1919,Portugal,1922-05-27
Anne of Green Gables,1919,UK,1926-08-23
Anne of Green Gables,1934,USA,1934-11-23
Anne of Green Gables,1934,France,1935-03-15
Anne of Green Gables,1934,UK,1935-07-01
Anne of Windy Poplars,1940,USA,1940-06-28
Anne of Windy Poplars,1940,Mexico,1940-08-08
Anne of Windy Poplars,1940,Portugal,1944-06-22
Anne of the Indies,1951,USA,1951-10-18
Anne of the Indies,1951,Sweden,1951-12-15
Anne of the Indies,1951,Australia,1952-04-12
Anne of the Indies,1951,West Germany,1952-05-30
Anne of the Indies,1951,Japan,1952-08-27
Anne of the Indies,1951,Finland,1952-09-05
Anne of the Indies,1951,France,1952-09-12
Anne of the Indies,1951,Denmark,1952-12-03
Anne of the Indies,1951,Portugal,1953-02-26
Anne of the Thousand Days,1969,USA,1969-12-18
Anne of the Thousand Days,1969,Australia,1970-04-30
Anne of the Thousand Days,1969,Netherlands,1970-07-16
Anne of the Thousand Days,1969,Ireland,1970-08-07
Anne of the Thousand Days,1969,Colombia,1970-08-25
Anne of the Thousand Days,1969,France,1970-08-26
Anne of the Thousand Days,1969,West Germany,1970-08-27
Anne of the Thousand Days,1969,Japan,1970-09-26
Anne of the Thousand Days,1969,Sweden,1970-10-07
Anne of the Thousand Days,1969,Argentina,1970-11-05
Anne of the Thousand Days,1969,Portugal,1970-11-06
Anne of the Thousand Days,1969,Denmark,1970-12-17
Anne of the Thousand Days,1969,Finland,1971-01-22
Anne of the Thousand Days,1969,Spain,1971-10-17
Anne of the Thousand Days,1969,Hungary,1972-11-23
Anne of the Thousand Days,1969,Poland,1973-01-22
Anne ya da Leyla,2006,Turkey,2006-05-05
Anne-Marie,1936,France,1936-03-06
Anne-Marie,1936,Finland,1938-01-30
Annelie,1941,Germany,1941-09-09
Annelie,1941,Italy,1941-09-09
Annelie,1941,Hungary,1941-11-14
Annelie,1941,Finland,1942-01-11
Annelie,1941,Sweden,1942-01-12
Annelie,1941,Denmark,1942-01-23
Annemarie Schwarzenbach Duende,2012,Sweden,2012-01-07
Annemin Sarkisi,2014,Turkey,2014-11-14
Annemin Sarkisi,2014,France,2015-08-05
Annemin Sarkisi,2014,Italy,2016-03-24
Annemin Sarkisi,2014,Germany,2016-06-09
Annemin Yarasi,2016,Germany,2016-03-03
Annemin Yarasi,2016,Turkey,2016-03-11
Annenkovshina,1933,Soviet Union,1933-10-19
Annenkovshina,1933,USA,1934-01-10
Annette et la dame blonde,1942,France,1942-03-16
Annette et la dame blonde,1942,Finland,1944-03-19
Annette et la dame blonde,1942,Denmark,1944-03-27
Annette et la dame blonde,1942,Portugal,1944-04-08
Annette et la dame blonde,1942,Netherlands,1944-05-12
Annette im Paradies,1934,Germany,1934-03-07
Annette im Paradies,1934,USA,1936-03-06
Annexing Bill,1918,USA,1918-07-07
Anni,1948,Austria,1948-06-04
Anni,1948,Germany,1948-12-25
Anni,1948,Portugal,1951-09-28
Anni 90,1992,Italy,1992-10-30
Anni 90 - Parte II,1993,Italy,1993-12-17
Anni difficili,1948,Italy,1948-09-09
Anni difficili,1948,USA,1950-08-21
Anni difficili,1948,West Germany,1951-07-27
Anni difficili,1948,Denmark,1952-05-19
Anni difficili,1948,Sweden,1952-06-03
Anni difficili,1948,East Germany,1952-06-06
Anni difficili,1948,Finland,1952-06-06
Anni difficili,1948,Hungary,1964-03-05
Anni facili,1953,Italy,1953-11-12
Anni felici,2013,Italy,2013-10-03
Anni felici,2013,Belgium,2014-03-12
Anni felici,2013,Netherlands,2014-05-08
Anni felici,2013,France,2014-05-28
Anni felici,2013,Brazil,2014-05-29
Anni felici,2013,Germany,2015-08-27
Anni ribelli,1994,Argentina,1996-12-05
Annibale,1959,Italy,1959-12-21
Annibale,1959,West Germany,1960-04-16
Annibale,1959,Portugal,1960-05-26
Annibale,1959,USA,1960-06-18
Annibale,1959,Finland,1960-09-02
Annibale,1959,Mexico,1961-03-02
Annibale,1959,Sweden,1961-08-07
Annibale,1959,Australia,1961-10-26
Annie,1982,USA,1982-06-18
Annie,1982,UK,1982-07-07
Annie,1982,Argentina,1982-07-08
Annie,1982,Ireland,1982-07-16
Annie,1982,Brazil,1982-08-25
Annie,1982,Italy,1982-09-10
Annie,1982,Hong Kong,1982-10-07
Annie,1982,France,1982-10-27
Annie,1982,Japan,1982-12-04
Annie,1982,Australia,1982-12-09
Annie,1982,Netherlands,1982-12-16
Annie,1982,Uruguay,1982-12-16
Annie,1982,West Germany,1982-12-16
Annie,1982,Denmark,1982-12-17
Annie,1982,Mexico,1982-12-17
Annie,1982,Portugal,1982-12-17
Annie,1982,Sweden,1982-12-18
Annie,1982,Colombia,1982-12-22
Annie,1982,Finland,1982-12-25
Annie,1982,South Korea,1986-12-19
Annie,1982,Hungary,1987-02-12
Annie,2014,Netherlands,2014-12-17
Annie,2014,Australia,2014-12-18
Annie,2014,New Zealand,2014-12-18
Annie,2014,Singapore,2014-12-18
Annie,2014,Canada,2014-12-19
Annie,2014,Croatia,2014-12-19
Annie,2014,Nigeria,2014-12-19
Annie,2014,USA,2014-12-19
Annie,2014,Ireland,2014-12-20
Annie,2014,UK,2014-12-20
Annie,2014,Belgium,2014-12-24
Annie,2014,Austria,2014-12-25
Annie,2014,Bahrain,2014-12-25
Annie,2014,Bolivia,2014-12-25
Annie,2014,Chile,2014-12-25
Annie,2014,Ecuador,2014-12-25
Annie,2014,Egypt,2014-12-25
Annie,2014,Iraq,2014-12-25
Annie,2014,Jamaica,2014-12-25
Annie,2014,Jordan,2014-12-25
Annie,2014,Kuwait,2014-12-25
Annie,2014,Lebanon,2014-12-25
Annie,2014,Oman,2014-12-25
Annie,2014,Poland,2014-12-25
Annie,2014,Qatar,2014-12-25
Annie,2014,Syria,2014-12-25
Annie,2014,United Arab Emirates,2014-12-25
Annie,2014,Venezuela,2014-12-25
Annie,2014,Ethiopia,2014-12-26
Annie,2014,Romania,2014-12-26
Annie,2014,Vietnam,2014-12-26
Annie,2014,India,2015-01-02
Annie,2014,Kenya,2015-01-02
Annie,2014,Bulgaria,2015-01-09
Annie,2014,China,2015-01-09
Annie,2014,Germany,2015-01-15
Annie,2014,Uruguay,2015-01-15
Annie,2014,Latvia,2015-01-16
Annie,2014,Philippines,2015-01-21
Annie,2014,Hungary,2015-01-22
Annie,2014,Mexico,2015-01-22
Annie,2014,Japan,2015-01-24
Annie,2014,Indonesia,2015-01-28
Annie,2014,Colombia,2015-01-29
Annie,2014,Dominican Republic,2015-01-29
Annie,2014,South Korea,2015-01-29
Annie,2014,South Africa,2015-01-30
Annie,2014,Spain,2015-01-30
Annie,2014,Taiwan,2015-01-30
Annie,2014,Slovakia,2015-02-05
Annie,2014,Brazil,2015-02-12
Annie,2014,Portugal,2015-02-12
Annie,2014,Slovenia,2015-02-12
Annie,2014,Argentina,2015-02-19
Annie,2014,Peru,2015-02-19
Annie,2014,France,2015-02-25
Annie,2014,Israel,2015-02-26
Annie,2014,Republic of Macedonia,2015-02-26
Annie,2014,Serbia,2015-02-26
Annie,2014,Estonia,2015-02-27
Annie,2014,Iceland,2015-02-27
Annie,2014,Lithuania,2015-02-27
Annie,2014,Azerbaijan,2015-03-19
Annie,2014,Kazakhstan,2015-03-19
Annie,2014,Malaysia,2015-03-19
Annie,2014,Russia,2015-03-19
Annie,2014,Thailand,2015-03-19
Annie,2014,Ukraine,2015-03-19
Annie,2014,Czech Republic,2015-03-26
Annie,2014,Denmark,2015-03-26
Annie,2014,Norway,2015-03-27
Annie,2014,Greece,2015-04-02
Annie,2014,Italy,2015-04-02
Annie,2014,Sweden,2015-04-06
Annie,2014,Turkey,2015-04-24
Annie,2014,Finland,2015-05-01
Annie Batungbakal,1979,Philippines,1979-09-14
Annie Get Your Gun,1950,USA,1950-05-17
Annie Get Your Gun,1950,Brazil,1950-06-05
Annie Get Your Gun,1950,Sweden,1950-09-25
Annie Get Your Gun,1950,UK,1950-10-09
Annie Get Your Gun,1950,Australia,1950-12-15
Annie Get Your Gun,1950,Denmark,1950-12-21
Annie Get Your Gun,1950,Portugal,1950-12-21
Annie Get Your Gun,1950,Ireland,1951-01-26
Annie Get Your Gun,1950,Italy,1951-04-07
Annie Get Your Gun,1950,Belgium,1951-07-20
Annie Get Your Gun,1950,Netherlands,1951-07-20
Annie Get Your Gun,1950,Finland,1951-08-31
Annie Get Your Gun,1950,Hong Kong,1951-09-06
Annie Get Your Gun,1950,Japan,1951-10-10
Annie Get Your Gun,1950,France,1951-11-16
Annie Get Your Gun,1950,Austria,1951-12-25
Annie Get Your Gun,1950,West Germany,1951-12-28
Annie Get Your Gun,1950,Argentina,1952-11-18
Annie Hall,1977,Taiwan,1977-04-20
Annie Hall,1977,USA,1977-04-20
Annie Hall,1977,West Germany,1977-06-09
Annie Hall,1977,Denmark,1977-07-29
Annie Hall,1977,Italy,1977-09-03
Annie Hall,1977,France,1977-09-07
Annie Hall,1977,Australia,1977-09-29
Annie Hall,1977,Uruguay,1977-10-13
Annie Hall,1977,Hong Kong,1977-10-27
Annie Hall,1977,Argentina,1977-11-10
Annie Hall,1977,Colombia,1977-11-23
Annie Hall,1977,Netherlands,1977-12-08
Annie Hall,1977,Ireland,1977-12-23
Annie Hall,1977,Japan,1978-01-14
Annie Hall,1977,Norway,1978-01-31
Annie Hall,1977,Finland,1978-02-17
Annie Hall,1977,Spain,1978-02-22
Annie Hall,1977,Portugal,1978-03-30
Annie Hall,1977,Sweden,1978-04-17
Annie Hall,1977,Mexico,1978-09-07
Annie Hall,1977,Hungary,1980-05-22
Annie Hall,1977,Slovakia,2004-03-01
Annie Laurie,1927,USA,1927-05-11
Annie Laurie,1927,Finland,1927-12-11
Annie Laurie,1927,Portugal,1929-05-22
Annie Laurie,1939,USA,1939-04-15
Annie Oakley,1935,USA,1935-11-15
Annie Oakley,1935,France,1936-03-27
Annie Oakley,1935,UK,1936-05-25
Annie Oakley,1935,USA,1993-03-24
Annie Sabungera,1982,Philippines,1982-07-23
Annie's Coming Out,1984,Australia,1984-09-20
Annie's Coming Out,1984,UK,1984-11-23
Annie's Coming Out,1984,USA,1985-04-12
Annie's Coming Out,1984,Sweden,1985-08-23
Annie's Coming Out,1984,Finland,1986-03-14
Annie's Coming Out,1984,Japan,1986-04-01
Annie-for-Spite,1917,USA,1917-05-14
Anniyan,2005,India,2005-06-10
Anniyan,2005,Kuwait,2005-06-22
Anniyan,2005,India,2006-05-19
Anno 2020 - I gladiatori del futuro,1982,France,1984-09-26
Anno 2020 - I gladiatori del futuro,1982,Portugal,1986-01-22
Anno 2020 - I gladiatori del futuro,1982,Mexico,1986-01-31
Anno 79: La distruzione di Ercolano,1962,Italy,1962-12-23
Anno 79: La distruzione di Ercolano,1962,West Germany,1963-09-06
Anno 79: La distruzione di Ercolano,1962,France,1964-01-29
Anno uno,1974,Italy,1974-11-15
Anno uno,1974,France,1979-11-04
Anno zero - Guerra nello spazio,1977,Italy,1977-09-23
Anno zero - Guerra nello spazio,1977,Colombia,1977-12-21
Annonsera!,1936,Sweden,1936-08-19
Annonsera!,1936,Finland,1936-09-20
Annonsera!,1936,Denmark,1937-07-26
Annorikkal,2005,India,2005-02-18
Annum Innum Ennum,2013,India,2013-01-18
Annunciation to a Third Milennium Citizen,2013,Iran,2013-10-09
Annushka,1959,Soviet Union,1959-08-01
Annushka,1959,Hungary,1960-10-06
Anny - en gatepiges roman,1912,Norway,1912-11-09
Anny. 'Volga'. Rock 'n' Roll,2011,Ukraine,2011-05-13
Annyeong Tokyo,1985,South Korea,1985-09-07
Annyeong! UFO,2004,South Korea,2004-01-30
"Annyeong, hyeonga",2005,South Korea,2005-05-27
"Annyeong, hyeonga",2005,Japan,2006-07-15
Annyeonghaseyo hananim,1987,South Korea,1987-11-12
Ano Ba Choy,1962,Philippines,1962-05-29
Ano ba iyan?,1992,Philippines,1992-01-01
Ano bang meron ka?,2001,Philippines,2001-11-14
Ano hata o ute,1944,Japan,1944-02-10
Ano ka hilo?,1985,Philippines,1985-02-21
Ano ko hayaku babaa ni narebaiinoni,2014,Japan,2014-06-07
Ano musume ni kofuku o,1963,Japan,1963-05-15
"Ano natsu, ichiban shizukana umi",1991,Japan,1991-10-19
"Ano natsu, ichiban shizukana umi",1991,Sweden,1998-05-14
"Ano natsu, ichiban shizukana umi",1991,UK,1999-02-05
"Ano natsu, ichiban shizukana umi",1991,France,1999-06-23
